PLANTILLA_CURVAS;;;;;;;
Equipo;BPC;;;;;;
Producto ;Oleoducto;;;;;;
Vicosidad (cSt);1;;;;;;
Densidad (kg/m³);1000;;;;;;
RPM bomba;3560;;;;;;
Pnom motor (hp);2500;;;;;;
Modelo Bomba;Sultzer 8x10x13B MSD;;;;;;
Stages ;4;;;;;;
Diametro (in);12,5;;;;;;
BLS/h;BLS/día;DP (m);DP (psi);Ph (kW);EFFb (%);Peje (kW);NPSHr (m)
0;0;834,5424;1195,559605;0;0;0;0
1650;39600;815,7492516;1062,024558;533,5131957;0,597161273;893,4155976;15,09721657
1800;43200;815,7045009;1061,966297;581,9824669;0,62352093;933,380804;18,54227189
1950;46800;814,9431014;1060,975031;629,8924987;0,648426065;971,4176099;21,45752446
2100;50400;813,4650532;1059,050759;677,1154639;0,67187668;1007,797241;23,89658806
2250;54000;811,2703564;1056,193481;723,5235352;0,693872773;1042,732275;25,91307648
2400;57600;808,3590108;1052,403198;768,9888854;0,714414344;1076,390601;27,56060349
2550;61200;804,7310165;1047,67991;813,3836874;0,733501395;1108,90544;28,89278289
2700;64800;800,3863735;1042,023616;856,5801138;0,751133924;1140,382675;29,96322845
2850;68400;795,3250818;1035,434316;898,4503374;0,767311932;1170,906251;30,82555396
3000;72000;789,5471414;1027,912011;938,8665311;0,782035419;1200,542211;31,53337321
3150;75600;783,0525523;1019,456701;977,7008676;0,795304384;1229,34173;32,14029997
3300;79200;775,8413145;1010,068385;1014,82552;0,807118828;1257,343385;32,69994803
3450;82800;767,913428;999,7470638;1050,11266;0,817478751;1284,574869;33,26593117
3600;86400;759,2688928;988,4927369;1083,434461;0,826384153;1311,054257;33,89186318
3750;90000;749,9077088;976,3054046;1114,663097;0,833835033;1336,790914;34,63135783
3900;93600;739,8298762;963,1850668;1143,670739;0,839831392;1361,786126;35,53802892
4050;97200;729,0353948;949,1317235;1170,32956;0,84437323;1386,033472;36,66549023
4200;100800;717,5242648;934,1453747;1194,511733;0,847460547;1409,518989;38,06735554
4350;104400;705,2964861;918,2260204;1216,089432;0,849093342;1432,221137;39,79723863
4400;105600;701,0613045;912,7122345;1222,681132;0,84931438;1439,609596;40,45602575
4500;108000;692,3520586;901,3736607;1234,934828;0,849271616;1454,110563;41,90875329
4650;111600;678,6909824;883,5882955;1250,920095;0,847995369;1475,149677;44,4555133
4800;115200;664,3132576;864,8699247;1263,917405;0,8452646;1495,292012;47,49113245
4950;118800;649,218884;845,2185485;1273,798931;0,841079311;1514,481351;51,06922451
5100;122400;633,4078617;824,6341669;1280,436846;0,8354395;1532,650594;55,24340327
5250;126000;616,8801907;803,1167797;1283,703322;0,828345167;1549,720301;60,06728252
5400;129600;599,635871;780,6663871;1283,470533;0,819796314;1565,596858;65,59447604
5550;133200;581,6749026;757,2829889;1279,610651;0,809792939;1580,170176;71,87859761
5700;136800;562,9972855;732,9665853;1271,995849;0,798335043;1593,310803;78,97326101
