PLANTILLA_CURVAS;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
Equipo;BPC;;;;;;
Producto ;Oleoducto;;;;;;
Vicosidad (cSt);1;;;;;;
Densidad (kg/m³);1000;;;;;;
RPM bomba;3560;;;;;;
Pnom motor (hp);2500;;;;;;
Modelo Bomba;Sultzer 8x10x13B MSD;;;;;;
Stages ;5;;;;;;
Diametro (in);12,5;;;;;;
BLS/h;BLS/día;DP (m);DP (psi);Ph (kW);EFFb (%);Peje (kW);NPSHr (m)
0,0;0,0;1043,178;1494,4495062499998;0,0;0,0;;0,0
1452,857143;34868,57143;1031,748;1478,0749681975892;657,6867717566712;0,5555;1183,9545846204703;0,0
2885,714286;69257,14286;994,4100000000001;1424,584810559715;1259,0453422024566;0,774;1626,673568737024;0,0
4575,714286;103611,4286;861,4409999999999;1234,0943512166725;1729,4459550331826;0,863;2003,992995403456;0,0
4990,0;120377,1429;807,339;1156,588204435263;1767,579826251082;0,855;2067,3448260246573;0,0
