PLANTILLA_CURVAS;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
Equipo;BPC;;;;;;
Producto ;Oleoducto;;;;;;
Vicosidad (cSt);1;;;;;;
Densidad (kg/m³);1000;;;;;;
RPM bomba;3000;;;;;;
Pnom motor (hp);2500;;;;;;
Modelo Bomba;Sultzer 8x10x13B MSD;;;;;;
Stages ;5;;;;;;
Diametro (in);12,5;;;;;;
BLS/h;BLS/día;DP (m);DP (psi);Ph (kW);EFFb (%);Peje (kW);NPSHr (m)
0,0;0,0;740,7999305643226;1494,4495062499998;0,0;0,0;;0,0
1224,3178171348313;29383,627611235952;732,6830576947355;1478,0749681975892;554,2304256376442;0,5555;997,7145376015197;0,0
2431,781701685393;58362,760840449424;706,167939654084;1424,584810559715;1060,9932659009464;0,774;1370,7923332053572;0,0
3855,9390050561797;92542,53612134831;611,7416519378864;1234,0943512166723;1457,3982767133557;0,863;1688,7581421939233;0,0
4205,056179775281;100921,34831460673;573,3217870218406;1156,5882044352627;1489,533561447541;0,855;1742,1445163129133;0,0
