PLANTILLA_CURVAS;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
Equipo;BPC;;;;;;
Producto ;Oleoducto;;;;;;
Vicosidad (cSt);75.0;;;;;;
Densidad (kg/m³);915.8576051779935;;;;;;
RPM bomba;3560;;;;;;
Pnom motor (hp);2500;;;;;;
Modelo Bomba;Sultzer 8x10x13B MSD;;;;;;
Stages ;4;;;;;;
Diametro (in);12.25;;;;;;
BLS/h;BLS/día;DP (m);DP (psi);Ph (kW);EFFb (%);Peje (kW);NPSHr (m)
0.0;0.0;801.4945209599999;1044.427805625379;0.0;0.0;;0.0
1604.599233317438;38510.38159961851;780.5663880712193;1017.1563479456872;499.8664928120375;0.5475237612062873;912.9585384764804;15.09721657
1750.4718908917505;42011.32538140201;780.3294198348113;1016.8475545494978;545.1433536540553;0.5716923387703378;953.5607120896756;18.54227189
1896.344548466063;45512.26916318551;779.4110782857102;1015.6508633384419;589.8769436121214;0.5945272977757091;992.1780645211986;21.45752446
2042.2172060403757;49013.21294496902;777.8114720061192;1013.5664158060287;633.9483481964193;0.6160286400561563;1029.0890828365211;23.89658806
2188.089863614688;52514.15672675251;775.5307533205556;1010.5944104463927;677.2387164008907;0.6361963637779243;1064.5120829978414;25.91307648
2333.962521189;56015.10050853601;772.569107231718;1006.7350883366187;719.6292631300494;0.6550304689410131;1098.619525735151;27.56060349
2479.8351787633133;59516.04429031952;768.9267441983271;1001.9887237255432;761.0012715634246;0.6725309573791779;1131.5483149340982;28.89278289
2625.7078363376254;63016.988072103006;764.6038940002175;996.3556160393532;801.2360941366244;0.6886978272586634;1163.4073209231915;29.96322845
2771.580493911938;66517.93185388652;759.6008015157319;989.8360843791077;840.2151534947062;0.7035310794963473;1194.2829222217304;30.82555396
2917.4531514862506;70018.87563567002;753.9177234314396;982.4304632331693;877.8199430561199;0.7170307140922295;1224.2431541687188;31.53337321
3063.325809060563;73519.81941745352;747.5549257022058;974.1390991674211;913.9320273446965;0.7291967301294325;1253.3408195377856;32.14029997
3209.198466634876;77020.76319923702;740.5126815679401;964.96234824089;948.4330421474156;0.7400291285248339;1281.6158250932795;32.69994803
3355.0711242091884;80521.70698102051;732.7912699893413;954.9005739673653;981.2046945404475;0.7495279092784337;1309.096942747666;33.26593117
3500.943781783501;84022.65076280403;724.3909744031018;943.9541456933053;1012.1287628151504;0.7576930723902318;1335.8031103838277;33.89186318
3646.816439357813;87523.59454458751;715.3120816281464;932.1234371725568;1041.0870961890776;0.7645246169433506;1361.7443743688107;34.63135783
3792.689096932126;91024.53832637102;705.5548814409067;919.4088260128943;1067.9616151476125;0.770022543854668;1386.9225306073336;35.53802892
3938.5617545064392;94525.48210815454;695.1196652524554;905.8106919521944;1092.6343102254925;0.7741868531241836;1411.3315226372467;36.66549023
4084.4344120807514;98026.42588993804;684.0067263363674;891.3294171553601;1114.9872428540596;0.7770175447518974;1434.9576150305284;38.06735554
4230.307069655063;101527.3696717215;672.2163587220007;875.9653847721568;1134.9025440349403;0.7785146178209322;1457.779363490361;39.79723863
4278.931288846501;102694.35093231603;668.1357473182051;870.647938548106;1140.9789193701176;0.7787172825994461;1465.2030266509578;40.45602575
4376.179727229376;105028.31345350502;659.7488571188368;859.718978838618;1152.2624144278998;0.7786780732481654;1479.7673827148753;41.90875329
4522.052384803688;108529.25723528852;646.6045168079473;842.5905841356172;1166.9491243529428;0.777507911033597;1500.8839238711203;44.4555133
4667.925042378;112030.20101707202;632.7836332034199;824.5805856173605;1178.8450131396532;0.7750041302603492;1521.082233127765;47.49113245
4813.797699952314;115531.14479885554;618.286501360786;805.6893677708201;1187.8324882215234;0.7711667327621773;1540.3056664113687;51.06922451
4959.6703575266265;119032.08858063904;603.1134163773789;785.9173151374396;1193.7940258240405;0.7659957167053263;1558.486555197391;55.24340327
5105.543015100938;122533.0323624225;587.2646728687508;765.2648116308535;1196.6121699100047;0.7594910820897962;1575.5447274212058;60.06728252
5251.415672675251;126033.97614420601;570.7405649453214;743.7322405064581;1196.16953199035;0.7516528307493417;1591.3856544621249;65.59447604
5397.288330249564;129534.91992598952;553.5413861137075;721.3199842328343;1192.3487907645638;0.7424809608502083;1605.8981356225158;71.87859761
5543.160987823876;133035.86370777304;535.6674291947829;698.0284243849702;1185.0326917636562;0.7319754733092732;1618.9513651408345;78.97326101
