PLANTILLA_CURVAS;;;;;;;
Equipo;BB;;;;;;
Producto ;Oleoducto;;;;;;
Vicosidad (cSt);1;;;;;;
Densidad (kg/mÂ³);1000;;;;;;
RPM bomba;1770;;;;;;
Pnom motor (hp);125;;;;;;
Modelo Bomba;Byron Jackson 1100 VLT;;;;;;
Stages ;6;;;;;;
Diametro (in);;;;;;;
BLS/h;BLS/día;DP (m);DP (psi);Ph (kW);EFFb (%);Peje (kW);NPSHr (m)
0;0;158,6360554;206,5283986;0;0;193,29025;0
50;1200;157,4386533;204,9694999;3,120224968;8,244673439;37,84534331;0
100;2400;154,9165644;201,6859906;6,140481036;15,05226294;40,79440454;0
150;3600;152,3385856;198,329718;9,057445206;21,5331917;42,0627157;0
200;4800;149,7047167;194,9006822;11,86779448;27,68745972;42,86342842;0
250;6000;147,0149579;191,3988831;14,56820586;33,51506701;43,4676316;0
300;7200;144,2693089;187,8243207;17,15535635;39,01601355;43,97003892;0
350;8400;141,46777;184,1769951;19,62592294;44,19029936;44,41228782;0
400;9600;138,610341;180,4569062;21,97658265;49,03792443;44,81548292;0
450;10800;135,697022;176,664054;24,20401247;53,55888876;45,19140152;0
500;12000;132,727813;172,7984386;26,3048894;57,75319235;45,54707425;0
550;13200;129,702714;168,8600599;28,27589045;61,6208352;45,88689906;0
600;14400;126,6217249;164,8489179;30,11369262;65,16181731;46,21370898;0
650;15600;123,4848458;160,7650127;31,8149729;68,37613868;46,52935003;0
700;16800;120,2920767;156,6083442;33,37640831;71,26379932;46,83501108;0
750;18000;117,0434175;152,3789124;34,79467584;73,82479921;47,13141954;0
800;19200;113,7388683;148,0767174;36,0664525;76,05913837;47,41896013;0
850;20400;110,3784291;143,7017591;37,18841528;77,96681679;47,69774734;0
900;21600;106,9620999;139,2540375;38,15724119;79,54783447;47,96766807;0
950;22800;103,4898806;134,7335527;38,96960723;80,80219141;48,2284039;0
1000;24000;99,96177136;130,1403046;39,62219041;81,72988761;48,47943826;0
1050;25200;96,37777205;125,4742932;40,11166771;82,33092307;48,72005101;0
1100;26400;92,73788271;120,7355186;40,43471616;82,6052978;48,94930136;0
1150;27600;89,04210335;115,9239807;40,58801274;82,55301178;49,16599875;0
1200;28800;85,29043396;111,0396795;40,56823446;82,17406503;49,36865962;0
1250;30000;81,48287455;106,0826151;40,37205832;81,46845754;49,55544703;0
1300;31200;77,61942511;101,0527874;39,99616132;80,4361893;49,72408771;0
1350;32400;73,70008564;95,95019638;39,43722047;79,07726033;49,87175871;0
