PLANTILLA_DRA;;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
NA;NA;;;;;;;;
Visc_min;Visc_max;API_min;API_max;Flujo;#BB;#BPC Fija;#BPC Variable;#BPT;DRA (GPH)
30;40;24;25,5;3000;4;0;0;4;0
30;40;24;25,5;4000;4;0;0;5;0
30;40;24;25,5;5000;5;0;0;6;0
30;40;24;25,5;5400;5;1;1;1;0
30;40;24;25,5;5800;5;1;1;2;0
30;40;24;25,5;6200;5;1;1;2;0,736962963
30;40;24;25,5;6600;6;1;1;3;1,38597812
30;40;24;25,5;7000;6;1;1;3;1,469977244
30;40;24;25,5;7400;7;1;1;4;1,553976281
30;40;25,5;27;3000;4;0;0;4;0
30;40;25,5;27;4000;4;0;0;5;0
30;40;25,5;27;5000;5;0;0;6;0
30;40;25,5;27;5400;5;1;1;1;0
30;40;25,5;27;5800;5;1;1;2;0
30;40;25,5;27;6200;5;1;1;2;0,972333333
30;40;25,5;27;6600;6;1;1;3;1,38597812
30;40;25,5;27;7000;6;1;1;3;1,469977244
30;40;25,5;27;7400;7;1;1;4;1,553976281
40;50;24;25,5;3000;4;0;0;4;0
40;50;24;25,5;4000;4;0;0;5;0
40;50;24;25,5;5000;5;0;0;6;0
40;50;24;25,5;5400;5;1;1;1;0
40;50;24;25,5;5800;5;1;1;2;0
40;50;24;25,5;6200;5;1;1;2;0
40;50;24;25,5;6600;6;1;1;3;1,38597812
40;50;24;25,5;7000;6;1;1;3;1,469977244
40;50;24;25,5;7400;7;1;1;4;1,553976281
40;50;25,5;26;3000;4;0;0;4;0
40;50;25,5;26;4000;4;0;0;5;0
40;50;25,5;26;5000;5;0;0;6;0
40;50;25,5;26;5400;5;1;1;2;4,535993517
40;50;25,5;26;5800;5;1;1;2;0
40;50;25,5;26;6200;5;1;1;2;0
40;50;25,5;26;6600;6;1;1;3;1,38597812
40;50;25,5;26;7000;6;1;1;3;1,469977244
40;50;25,5;26;7400;7;1;1;4;1,553976281
50;60;20,5;22;3000;4;0;0;4;0
50;60;20,5;22;4000;4;0;0;5;0
50;60;20,5;22;5000;5;0;0;6;0
50;60;20,5;22;5400;5;1;1;1;0
50;60;20,5;22;5800;6;1;1;2;0
50;60;20,5;22;6200;6;1;1;2;0,736962963
50;60;20,5;22;6600;6;1;1;3;1,38597812
50;60;20,5;22;7000;6;1;1;3;1,469977244
50;60;20,5;22;7400;7;1;1;4;1,553976281
50;60;22;23,5;3000;4;0;0;4;0
50;60;22;23,5;4000;4;0;0;5;0
50;60;22;23,5;5000;5;0;0;6;0
50;60;22;23,5;5400;5;1;1;1;0
50;60;22;23,5;5800;6;1;1;2;0
50;60;22;23,5;6200;6;1;1;2;0
50;60;22;23,5;6600;6;1;1;3;1,38597812
50;60;22;23,5;7000;6;1;1;3;1,469977244
50;60;22;23,5;7400;7;1;1;4;1,553976281
50;60;23,5;25;3000;4;0;0;4;0
