PLANTILLA_PERDIDASDELINEA;;;;;
Sistema;COV - CNG;;;;
Tramo;COV - CTG;;;;
Distancia;N/A;;;;
Prop1;N/A;;;;
Prop2;N/A;;;;
Prop3;N/A;;;;
Prop4;N/A;;;;
Prop5;N/A;;;;
Prop6;N/A;;;;
Estampa de tiempo;DPreal (psi);Flujo (BLS/h);GE (API);Visc. Obs. (cSt); GElínea 
1/04/2021 19:00;1613,627167;5912,266667;21,60618557;88,51;22,38
1/04/2021 20:00;1612,097;5922,455667;21,88484848;86,76;22,36
1/04/2021 21:00;1610,66;5933,412833;21,76868687;85,63;22,28
1/04/2021 22:00;1609,1145;5945,983667;21,90103093;83,8;22,18
1/04/2021 23:00;1607,6585;5958,838333;21,963;82,26;22,09
2/04/2021 0:00;1606,069;5971,937333;22,06276596;80,4;22
2/04/2021 1:00;1568,904667;5869,332833;22,13737374;78,33;21,92
2/04/2021 2:00;1394,205667;5522,102;22,34392523;77,47;22,02
2/04/2021 3:00;1385,9695;5531,021667;22,52056075;75,2;21,97
2/04/2021 4:00;1384,108833;5545,094833;22,79428571;73,35;21,92
2/04/2021 5:00;1376,337667;5579,184;22,64174757;71,85;21,86
3/04/2021 15:00;1266,126;5639,149;25,86886792;47,06;23,07
4/04/2021 17:00;1452,368;5746,203667;22,29009901;80,83;22,61
4/04/2021 18:00;1489,7735;5855,827333;22,35247525;80,9;22,61
4/04/2021 19:00;1587,923;6039,1615;22,4125;81,49;22,6
4/04/2021 20:00;1589,503;6023,8215;22,38301887;82,4;22,6
4/04/2021 21:00;1592,781333;6009,313333;22,45294118;81,45;22,6
4/04/2021 22:00;1596,648;5988,444167;22,65700935;81,12;22,62
4/04/2021 23:00;1600,078667;5965,425167;22,39906542;80,6;22,61
5/04/2021 0:00;1489,001833;5662,664667;22,4;80,73;22,6
5/04/2021 1:00;1477,146833;5642,720167;22,2;80,49;22,6
5/04/2021 2:00;1479,374333;5628,197;22,4;80,8;22,6
5/04/2021 3:00;1489,6675;5628,331;22,2;80,62;22,59
5/04/2021 4:00;1491,6695;5619,427;22,4;80,43;22,57
5/04/2021 5:00;1492,911167;5606,355667;22,3;80,36;22,56
5/04/2021 6:00;1492,8485;5607,629167;22,5;80,36;22,53
5/04/2021 7:00;1493,690667;5598,01;22,3;80,65;22,5
5/04/2021 8:00;1496,130333;5581,834667;22,5;80,73;22,5
5/04/2021 9:00;1498,1455;5577,152667;22,5;79,82;22,49
5/04/2021 10:00;1499,445667;5567,907833;22,6;79,09;22,47
5/04/2021 11:00;1499,465833;5564,971833;22,7;78,36;22,47
5/04/2021 12:00;1500,965167;5560,725333;22,6;78,21;22,46
5/04/2021 13:00;1505,419167;5568,302833;22,5;78,23;22,45
5/04/2021 14:00;1508,410333;5576,308667;22,3;78,1;22,42
5/04/2021 15:00;1505,361333;5578,371167;22,2;78,57;22,42
5/04/2021 16:00;1501,005833;5574,9445;22,1;78,48;22,41
5/04/2021 17:00;1499,91;5590,5205;22;78,59;22,39
5/04/2021 18:00;1495,809667;5604,057667;21,9;78,74;22,36
5/04/2021 19:00;1491,2805;5613,519;22,1;78,84;22,34
5/04/2021 20:00;1483,049167;5615,7255;21,9;78,67;22,31
5/04/2021 22:00;1519,051333;5874,084;22,7;74,69;22,31
5/04/2021 23:00;1572,112667;5937,920667;22,4;78,73;22,32
6/04/2021 0:00;1469,602167;5699,033667;22,1;78,78;22,31
6/04/2021 1:00;1435,640167;5667,5395;22,1;79,13;22,3
6/04/2021 2:00;1430,6835;5677,489833;22;79,12;22,28
6/04/2021 3:00;1425,288;5690,598;22,1;79,36;22,26
6/04/2021 20:00;1442,716833;5766,594833;22;78,47;22,14
6/04/2021 21:00;1448,398833;5765,646333;22;78,93;22,14
6/04/2021 22:00;1452,778667;5760,7095;22;78,51;22,13
6/04/2021 23:00;1452,351833;5757,811667;22,1;78,65;22,14
7/04/2021 0:00;1450,622167;5758,7935;22,19711538;78,48;22,14
7/04/2021 1:00;1448,813333;5760,747833;22,00490196;78,52;22,14
7/04/2021 2:00;1446,785333;5766,644833;21,96464646;78,63;22,14
7/04/2021 13:00;1392,327833;5598,747667;22,67570093;77,84;22,1
7/04/2021 15:00;1455,984167;5798,047333;22,19473684;78,42;22,13
7/04/2021 16:00;1451,869833;5781,3175;21,94742268;78,62;22,14
7/04/2021 17:00;1451,009;5777,798333;21,76767677;78,72;22,13
7/04/2021 18:00;1449,572833;5769,35;21,78105263;79,14;22,11
7/04/2021 19:00;1447,894833;5755,184667;21,87142857;78,84;22,11
7/04/2021 20:00;1450,717667;5754,301833;21,73225806;78,65;22,09
7/04/2021 21:00;1214,557667;4607,513167;21,89;79,04;22,07
8/04/2021 5:00;1446,622167;5743,221333;22,0826087;79,26;21,92
8/04/2021 6:00;1440,865;5725,722833;21,79222222;79,4;21,9
8/04/2021 7:00;1563,033;6035,460167;22,09479167;79,12;21,84
8/04/2021 9:00;1580,136167;6023,918333;22,1972973;95,7;21,77
8/04/2021 10:00;1586,921833;6015,792167;22,5776699;83,43;21,77
8/04/2021 11:00;1587,505667;6010,052;22,66868687;83,13;21,79
8/04/2021 12:00;1587,990833;6009,726333;22,93173077;81,99;21,84
8/04/2021 13:00;1586,747833;6001,241333;22,89065421;82,01;21,9
8/04/2021 14:00;1592,794167;6020,923167;22,70925926;81,61;21,94
8/04/2021 15:00;1590,514167;6044,687833;22,78557692;82,1;21,99
8/04/2021 16:00;1583,693333;6047,845833;22,41981982;81,89;22,02
8/04/2021 17:00;1576,349833;6054,399167;22,0588785;82,48;22,03
8/04/2021 18:00;1570,864833;6056,037;21,72727273;83,15;22,06
8/04/2021 19:00;1574,458833;6075,131833;21,89340659;82,83;22,1
8/04/2021 20:00;1583,557333;6088,45;22,05979381;83,26;22,15
8/04/2021 21:00;1581,907;6084,059833;21,97765957;83,59;22,17
8/04/2021 22:00;1581,404667;6074,01;22,12282609;83,35;22,21
8/04/2021 23:00;1583,186;6066,439;22,14854369;83,32;22,24
11/04/2021 0:00;1482,2695;5720,689833;21,53214286;86,35;21,82
11/04/2021 1:00;1456,028667;5720,816833;21,50833333;86,51;21,8
11/04/2021 22:00;1594,393333;6070,197833;21,66808511;85,56;21,57
11/04/2021 23:00;1594,9695;6060,363167;21,62;85,31;21,57
12/04/2021 0:00;1594,212833;6059,714167;21,68876404;85,58;21,58
12/04/2021 1:00;1592,6015;6068,414167;21,5;85,62;21,59
12/04/2021 2:00;1590,083833;6072,8895;21,52325581;85,87;21,59
12/04/2021 3:00;1587,452333;6082,929833;21,49772727;85,93;21,58
12/04/2021 4:00;1584,868667;6081,541667;21,42954545;85,89;21,57
12/04/2021 5:00;1586,552;6093,8805;21,42134831;85,97;21,56
12/04/2021 6:00;1587,599667;6110,769833;21,46263736;86,25;21,55
12/04/2021 7:00;1585,5225;6111,3985;21,46741573;85,76;21,54
12/04/2021 8:00;1581,467;6115,908;21,75714286;85,33;21,55
12/04/2021 9:00;1578,478167;6116,078167;21,75961538;84,61;21,55
13/04/2021 6:00;1562,650333;6104,364333;21,63373494;81,42;21,65
13/04/2021 7:00;1567,531833;6077,373833;21,78181818;81,05;21,65
13/04/2021 8:00;1578,894667;6076,892;22,09009901;80,02;21,67
13/04/2021 9:00;1588,012833;6102,6045;21,95051546;79,61;21,67
13/04/2021 10:00;1580,709833;6086,658667;22,02291667;79,35;21,68
13/04/2021 11:00;1586,116333;6105,599;22,11919192;78,63;21,69
13/04/2021 12:00;1584,016167;6107,238167;22,13773585;79,39;21,71
13/04/2021 13:00;1581,185;6114,491167;21,98602151;78,48;21,73
13/04/2021 14:00;1574,731167;6120,882167;22,140625;78,33;21,76
13/04/2021 15:00;1566,5975;6148,3795;21,928125;78,39;21,8
20/04/2021 20:00;1596,120667;5979,784167;20,93670886;93,26;20,98
20/04/2021 21:00;1597,8075;5953,301333;21,18734177;87,34;20,97
20/04/2021 22:00;1596,708167;5933,487;21,4787234;82,95;20,96
20/04/2021 23:00;1595,347833;5924,6075;21,475;79,4;20,96
21/04/2021 0:00;1594,403833;5923,938;21,38;77,59;20,96
21/04/2021 1:00;1592,722833;5922,997333;21,38;76,03;20,94
21/04/2021 2:00;1596,344167;5972,957667;21,38;74,28;20,94
21/04/2021 3:00;1602,939667;6029,305167;21,38;72,66;20,93
21/04/2021 4:00;1599,152333;6050,945;21,38;71,46;20,91
21/04/2021 5:00;1599,300833;6040,0955;21,38;70,55;20,9
21/04/2021 6:00;1546,487333;5879,236667;21,38;70,37;20,89
21/04/2021 7:00;1470,9415;5731,019333;21,38;70,21;20,92
21/04/2021 8:00;1521,044167;5875,4425;21,38;69,85;20,86
21/04/2021 9:00;1600,224833;6021,022167;21,38;69,32;20,86
21/04/2021 10:00;1595,448;6030,019;21,38;69,17;21
21/04/2021 11:00;1589,005;6093,996;21,38;69,01;21,11
21/04/2021 12:00;1583,634;6151,163167;21,38;68,94;21,2
21/04/2021 13:00;1576,158667;6178,455167;21,38;68,9;21,32
21/04/2021 14:00;1569,871;6202,836833;21,38;68,85;21,36
21/04/2021 15:00;1566,955667;6216,994667;21,38;68,46;21,38
21/04/2021 16:00;1564,423333;6216,776167;21,38;68,16;21,39
21/04/2021 17:00;1391,915833;5629,025667;21,38;69,01;21,38
24/04/2021 8:00;1444,192667;5788,798667;21,4;75,46;21,53
24/04/2021 9:00;1450,780167;5772,676333;21,4;74,54;21,53
24/04/2021 10:00;1456,2615;5750,475833;22,2;74,71;21,57
24/04/2021 11:00;1461,590667;5738,120333;22,1;73,96;21,57
24/04/2021 12:00;1462,266;5735,523333;22,2;74,38;21,61
24/04/2021 13:00;1460,7465;5726,482333;21,4;73,49;21,62
24/04/2021 14:00;1455,884833;5726,751333;21,4;73,51;21,62
24/04/2021 15:00;1453,0465;5732,023333;21,4;74,24;21,63
24/04/2021 16:00;1451,101667;5738,732833;22,2;74,35;21,67
24/04/2021 17:00;1455,610667;5747,479;22,2;74,3;21,71
24/04/2021 18:00;1458,431167;5744,420333;22,2;74,82;21,76
24/04/2021 19:00;1451,724667;5705,956667;21,5;74,59;21,77
24/04/2021 20:00;1464,179667;5715,2855;21,5;74,49;21,78
24/04/2021 21:00;1467,169833;5692,396;21,5;74,37;21,79
24/04/2021 22:00;1480,6035;5711,010833;21,5;74,58;21,75
24/04/2021 23:00;1484,909333;5704,342833;21,5;74,91;21,75
25/04/2021 0:00;1488,22;5715,9495;21,5;74,79;21,75
25/04/2021 2:00;1492,067333;5712,3405;21,5;87,79;21,71
25/04/2021 3:00;1505,483833;5716,352167;20,9;85,12;21,68
25/04/2021 4:00;1496,299167;5698,8115;20,9;84,4;21,61
25/04/2021 5:00;1499,0605;5694,2155;20,9;83,48;21,59
25/04/2021 6:00;1501,18;5695,101167;21,7;82,43;21,6
25/04/2021 7:00;1501,630833;5676,454333;21;80,88;21,55
25/04/2021 8:00;1577,691333;5831,217833;21,1;80,02;21,5
25/04/2021 9:00;1597,754833;5834,065167;21,7;79,05;21,48
25/04/2021 10:00;1601,292833;5809,150167;21;78,47;21,46
25/04/2021 11:00;1600,9455;5777,3715;21;78,18;21,44
25/04/2021 12:00;1599,877667;5750,734333;21;77,84;21,42
25/04/2021 13:00;1602,503167;5759,264667;21;78,16;21,36
25/04/2021 14:00;1609,142833;5804,493833;21;77,59;21,3
25/04/2021 15:00;1605,293167;5824,198833;21;78,14;21,25
25/04/2021 16:00;1604,158667;5866,6875;21,1;78,45;21,23
25/04/2021 17:00;1605,276;5906,548333;21,1;78,24;21,2
25/04/2021 18:00;1603,449167;5912,5165;20,9;78,65;21,17
25/04/2021 19:00;1600,253;5933,415333;20,9;78,46;21,14
25/04/2021 20:00;1592,679167;5962,324;20,9;79,02;21,11
25/04/2021 21:00;1585,5875;5989,816;20,9;78,95;21,08
25/04/2021 22:00;1574,639;6015,573167;20,9;78,94;21,05
25/04/2021 23:00;1551,774333;6018,131667;20,9;78,68;21,05
26/04/2021 0:00;1528,554167;6010,761667;20,9;78,83;21,05
1/05/2021 7:00;1380,390667;5944,622167;21,47;81,81;21,42
1/05/2021 8:00;1416,2625;6076,100833;21,41;79,85;21,41
1/05/2021 9:00;1513,8755;6317,417833;21,3;80,25;21,39
1/05/2021 10:00;1512,262833;6313,951;21,46;79,76;21,39
1/05/2021 11:00;1515,441333;6295,7265;21,42;80,14;21,39
1/05/2021 12:00;1521,808833;6264,277833;21,43;79,87;21,39
1/05/2021 13:00;1530,496667;6234,3495;21,48;80,12;21,4
1/05/2021 14:00;1537,740667;6191,827;21,47;81,39;21,42
1/05/2021 15:00;1537,3935;6189,817833;21,45;81,98;21,44
1/05/2021 16:00;1554,377333;6245,9165;21,41;79,86;21,44
1/05/2021 17:00;1554,779333;6265,281333;21,55;82,21;21,44
1/05/2021 18:00;1550,057167;6271,593;21,44;82,85;21,45
1/05/2021 19:00;1548,447167;6249,171833;21,61;82,37;21,47
1/05/2021 20:00;1548,313167;6237,616333;21,53;83,01;21,48
1/05/2021 21:00;1540,255;6226,038333;21,53;82,67;21,47
1/05/2021 22:00;1529,233;6250,426;21,59;82,18;21,47
1/05/2021 23:00;1527,8755;6266,935167;21,49;82,09;21,47
2/05/2021 0:00;1530,389667;6280,796833;21,5;81,95;21,47
2/05/2021 2:00;1557,478667;6314,1005;21,55;81,17;21,41
2/05/2021 3:00;1558,293333;6317,155667;21,52;81,9;21,42
2/05/2021 4:00;1557,053333;6313,272833;21,6;80,67;21,43
2/05/2021 5:00;1554,297667;6317,384;21,62;80,81;21,44
2/05/2021 6:00;1461,605333;6102,567333;21,59;80,37;21,45
2/05/2021 7:00;1386,281;6012,130833;21,59;79,04;21,46
2/05/2021 8:00;1372,05;6045,422;21,52;78,19;21,46
2/05/2021 9:00;1358,870333;6083,6315;21,67;76,22;21,47
2/05/2021 10:00;1345,921833;6100,7315;21,56;76,03;21,48
2/05/2021 11:00;1331,861;6124,539833;21,62;76,23;21,48
2/05/2021 12:00;1329,348167;6172,249167;21,61;77,32;21,49
2/05/2021 13:00;1323,484;6187,063;21,51;79,04;21,5
2/05/2021 14:00;1322,475333;6190,352833;21,59;78,45;21,49
2/05/2021 15:00;1322,237;6182,569167;21,67;77,76;21,5
2/05/2021 16:00;1324,5;6179,0805;21,6;78,19;21,51
2/05/2021 17:00;1001,761833;5038,691333;21,57;78,31;21,51
2/05/2021 18:00;942,6181667;4921,357667;21,57;78,25;21,52
2/05/2021 19:00;937,8318333;4936,959;21,59;78,89;21,52
2/05/2021 20:00;933,6605;4958,982333;21,75;79,85;21,53
3/05/2021 2:00;1250,287667;6103,039167;21,62;79,08;21,61
3/05/2021 3:00;1255,3275;6086,551;21,63;79,98;21,62
3/05/2021 4:00;1258,673167;6070,724167;21,56;80,66;21,62
3/05/2021 5:00;1262,027;6053,5875;21,55;80,67;21,61
3/05/2021 6:00;1265,308833;6044,921833;21,57;80,8;21,61
3/05/2021 7:00;1268,542833;6029,44;21,6;80,71;21,61
3/05/2021 8:00;1272,301;6022,613833;21,57;78,19;21,61
3/05/2021 9:00;1277,678333;6023,119;21,55;77,08;21,61
3/05/2021 10:00;1280,875833;6015,09;21,55;76,7;21,61
3/05/2021 11:00;1282,87;6002,619833;21,55;76,15;21,6
3/05/2021 12:00;1283,3625;5991,206667;21,64;75,72;21,61
3/05/2021 13:00;1282,307167;5990,343167;21,63;75,99;21,61
3/05/2021 14:00;1283,492333;5983,467833;21,52;76,33;21,61
3/05/2021 15:00;1284,647333;5974,476667;21,54;77,83;21,6
3/05/2021 16:00;1287,119167;5965,206;21,73;78,69;21,6
3/05/2021 17:00;1299,677833;5990,137833;21,61;77,32;21,6
3/05/2021 18:00;1300,600833;5980,938833;21,56;78,8;21,6
3/05/2021 19:00;1301,348833;5973,155;21,48;79,7;21,59
3/05/2021 20:00;1301,2975;5960,614333;21,63;79,9;21,59
3/05/2021 21:00;1300,680833;5956,363;21,64;78,65;21,59
3/05/2021 22:00;1298,6815;5949,6725;21,5;81,81;21,58
3/05/2021 23:00;1296,213333;5938,237667;21,65;81,34;21,58
4/05/2021 0:00;1295,550833;5934,524;21,6;80,26;21,58
4/05/2021 1:00;1294,846;5939,2435;21,6;80,91;21,59
4/05/2021 2:00;1294,057833;5940,7335;21,6;80,08;21,59
4/05/2021 3:00;1298,620833;5946,099333;21,6;80,86;21,59
4/05/2021 4:00;1302,572667;5935,255667;21,5;80,96;21,58
4/05/2021 6:00;1345,8155;5932,561;20,4;110,85;21,45
4/05/2021 7:00;1360,409333;5920,218833;20,5;104,79;21,4
4/05/2021 8:00;1368,655667;5907,094;20,5;104,19;21,34
4/05/2021 9:00;1372,436167;5886,362333;20,5;103,39;21,28
4/05/2021 10:00;1374,1715;5875,242167;20,6;102,68;21,24
4/05/2021 11:00;1375,393667;5875,033667;20,5;101,49;21,19
4/05/2021 12:00;1381,484333;5887,118;20,5;101,82;21,12
4/05/2021 13:00;1390,994167;5907,672667;20,4;101,84;21,06
4/05/2021 14:00;1388,891167;5885,463;20,4;104,43;21,01
4/05/2021 15:00;1395,564167;5867,266333;20,5;104,37;20,98
4/05/2021 16:00;1404,759667;5847,391;20,4;104,5;20,93
4/05/2021 17:00;1410,612667;5832,941;20,5;104,49;20,88
4/05/2021 18:00;1410,985833;5805,644167;20,4;104,51;20,82
4/05/2021 19:00;1408,261;5784,954833;20,4;105,34;20,76
4/05/2021 20:00;1406,837667;5775,449167;20,5;104,28;20,71
4/05/2021 21:00;1528,716333;6080,061167;20,5;104,61;20,61
4/05/2021 22:00;1572,489333;6110,841833;20,6;104,97;20,56
4/05/2021 23:00;1581,001;6067,7545;20,5;105,09;20,51
5/05/2021 0:00;1468,5235;5738,356833;20,39;105,37;20,5
5/05/2021 1:00;1450,197667;5704,6865;20,42;105,93;20,45
5/05/2021 2:00;1450,500167;5714,463833;20,4;105,22;20,47
5/05/2021 3:00;1451,5135;5708,0705;20,36;106,02;20,47
5/05/2021 4:00;1452,8435;5709,5545;20,43;107,29;20,46
5/05/2021 5:00;1453,110667;5720,427667;20,45;106,93;20,46
5/05/2021 6:00;1457,456667;5739,426333;20,36;106,34;20,45
5/05/2021 7:00;1463,838667;5758,865333;20,39;105,04;20,44
5/05/2021 8:00;1560,720833;6026,7655;20,34;102,77;20,43
5/05/2021 9:00;1592,7085;6073,955667;20,53;103,2;20,44
5/05/2021 10:00;1589,421167;6081,937833;20,46;103,14;20,44
5/05/2021 11:00;1581,36;6108,391;20,46;102,89;20,44
5/05/2021 12:00;1574,849167;6123,0305;20,44;104,64;20,44
5/05/2021 13:00;1573,766833;6123,189833;20,35;104,43;20,43
5/05/2021 14:00;1577,6185;6109,281833;20,32;103,26;20,43
